"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2018-05-11",582,2.99
"Manzana a granel",24512,"2018-04-12",661,2.99
"Manzana a granel",24512,"2017-11-09",721.332,2.99
"Manzana a granel",24512,"2020-05-23",584,2.99
"Manzana a granel",24512,"2018-06-09",814,2.99
"Manzana a granel",24512,"2018-07-02",689,2.99
"Manzana a granel",24512,"2018-05-29",652,2.99
"Manzana a granel",24512,"2019-06-15",557,2.99
"Manzana a granel",24512,"2019-10-28",816,2.99
"Manzana a granel",24512,"2017-10-09",815.948,2.99
"Manzana a granel",24512,"2017-07-31",742,2.99
"Manzana a granel",24512,"2019-05-31",564,2.99
"Manzana a granel",24512,"2020-07-25",510,2.99
"Manzana a granel",24512,"2020-07-21",391,2.99
"Manzana a granel",24512,"2019-01-18",578,2.99
"Manzana a granel",24512,"2017-10-25",724,2.99
"Manzana a granel",24512,"2019-02-14",531,2.99
"Manzana a granel",24512,"2020-07-30",342.276,2.99
"Manzana a granel",24512,"2020-03-30",891,2.99
"Manzana a granel",24512,"2017-08-16",714,2.99
"Manzana a granel",24512,"2019-05-29",518,2.99
"Manzana a granel",24512,"2018-03-21",811,2.99
"Manzana a granel",24512,"2017-11-21",776,2.99
"Manzana a granel",24512,"2019-12-31",1206,2.99
"Manzana a granel",24512,"2018-06-14",678,2.99
"Manzana a granel",24512,"2020-01-29",859,2.99
"Manzana a granel",24512,"2018-12-07",901,2.99
"Manzana a granel",24512,"2017-12-14",762,2.99
"Manzana a granel",24512,"2020-08-18",400,2.99
"Manzana a granel",24512,"2020-02-06",656,2.99
"Manzana a granel",24512,"2018-10-08",738,2.99
"Manzana a granel",24512,"2019-07-13",580,2.99
"Manzana a granel",24512,"2018-07-25",618.827,2.99
"Manzana a granel",24512,"2019-06-12",503,2.99
"Manzana a granel",24512,"2019-04-20",693,2.99
"Manzana a granel",24512,"2017-10-11",1065,2.99
"Manzana a granel",24512,"2018-08-20",724,2.99
"Manzana a granel",24512,"2017-12-11",807,2.99
"Manzana a granel",24512,"2020-05-16",907,2.99
"Manzana a granel",24512,"2019-02-20",577.734,2.99
"Manzana a granel",24512,"2020-08-29",512.413,2.99
"Manzana a granel",24512,"2018-05-17",643,2.99
"Manzana a granel",24512,"2019-07-16",505,2.99
"Manzana a granel",24512,"2017-10-16",834,2.99
"Manzana a granel",24512,"2018-09-12",687,2.99
"Manzana a granel",24512,"2020-07-23",365,2.99
"Manzana a granel",24512,"2020-09-03",397,2.99
"Manzana a granel",24512,"2018-12-03",696,2.99
"Manzana a granel",24512,"2017-11-04",937.863,2.99
"Manzana a granel",24512,"2018-08-23",635,2.99
"Manzana a granel",24512,"2019-03-19",544,2.99
"Manzana a granel",24512,"2017-08-17",605.8,2.99
"Manzana a granel",24512,"2020-05-27",379,2.99
"Manzana a granel",24512,"2019-12-14",913,2.99
"Manzana a granel",24512,"2018-08-09",750.016,2.99
"Manzana a granel",24512,"2020-05-14",639,2.99
"Manzana a granel",24512,"2018-10-05",577,2.99
"Manzana a granel",24512,"2019-07-05",501,2.99
"Manzana a granel",24512,"2017-10-02",856,2.99
"Manzana a granel",24512,"2017-12-07",1047,2.99
"Manzana a granel",24512,"2020-09-07",417.127,2.99
"Manzana a granel",24512,"2020-05-25",434,2.99
"Manzana a granel",24512,"2018-10-30",705,2.99
"Manzana a granel",24512,"2020-08-05",376,2.99
"Manzana a granel",24512,"2018-05-24",818.023,2.99
"Manzana a granel",24512,"2019-03-11",630,2.99
"Manzana a granel",24512,"2017-10-23",768,2.99
"Manzana a granel",24512,"2020-06-05",338,2.99
"Manzana a granel",24512,"2020-04-30",924,2.99
"Manzana a granel",24512,"2017-10-05",698,2.99
"Manzana a granel",24512,"2018-12-15",792,2.99
"Manzana a granel",24512,"2020-04-07",902,2.99
"Manzana a granel",24512,"2020-06-19",387,2.99
"Manzana a granel",24512,"2017-10-03",774,2.99
"Manzana a granel",24512,"2019-04-02",536,2.99
"Manzana a granel",24512,"2020-07-15",384,2.99
"Manzana a granel",24512,"2019-07-06",580.815,2.99
"Manzana a granel",24512,"2018-07-21",734,2.99
"Manzana a granel",24512,"2019-07-03",494,2.99
"Manzana a granel",24512,"2020-08-03",444,2.99
"Manzana a granel",24512,"2018-01-03",624,2.99
"Manzana a granel",24512,"2019-08-29",883,2.99
"Manzana a granel",24512,"2019-07-17",467,2.99
"Manzana a granel",24512,"2019-10-16",871,2.99
"Manzana a granel",24512,"2018-09-17",746.184,2.99
"Manzana a granel",24512,"2020-04-03",707,2.99
"Manzana a granel",24512,"2017-08-21",691,2.99
"Manzana a granel",24512,"2017-11-18",848,2.99
"Manzana a granel",24512,"2020-02-22",819,2.99
"Manzana a granel",24512,"2018-05-10",758.952,2.99
"Manzana a granel",24512,"2018-06-16",795,2.99
"Manzana a granel",24512,"2020-06-27",451,2.99
"Manzana a granel",24512,"2017-12-19",713,2.99
"Manzana a granel",24512,"2019-07-02",497,2.99
"Manzana a granel",24512,"2017-10-07",940,2.99
"Manzana a granel",24512,"2019-07-29",558,2.99
"Manzana a granel",24512,"2018-12-23",203,2.99
"Manzana a granel",24512,"2018-02-08",748,2.99
"Manzana a granel",24512,"2018-08-28",899.209,2.99
"Manzana a granel",24512,"2020-07-11",459,2.99
"Manzana a granel",24512,"2019-03-09",623,2.99
"Manzana a granel",24512,"2019-03-26",522,2.99
"Manzana a granel",24512,"2019-09-26",771,2.99
"Manzana a granel",24512,"2020-07-10",401,2.99
"Manzana a granel",24512,"2018-06-18",700,2.99
"Manzana a granel",24512,"2018-09-07",612,2.99
"Manzana a granel",24512,"2019-08-10",550,2.99
"Manzana a granel",24512,"2018-03-24",919,2.99
"Manzana a granel",24512,"2019-01-29",595,2.99
"Manzana a granel",24512,"2018-12-04",685,2.99
"Manzana a granel",24512,"2020-09-17",358,2.99
"Manzana a granel",24512,"2019-11-05",837,2.99
"Manzana a granel",24512,"2019-07-26",456,2.99
"Manzana a granel",24512,"2019-02-16",727,2.99
"Manzana a granel",24512,"2020-02-17",878,2.99
"Manzana a granel",24512,"2017-11-02",793.263,2.99
"Manzana a granel",24512,"2017-12-18",797,2.99
"Manzana a granel",24512,"2019-09-05",728,2.99
"Manzana a granel",24512,"2020-02-01",977,2.99
"Manzana a granel",24512,"2019-07-20",607,2.99
