"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2019-09-13",717,2.99
"Manzana a granel",24512,"2020-01-24",648,2.99
"Manzana a granel",14526,"2020-01-20",769,2.99
"Manzana a granel",14526,"2017-08-08",719.32,2.99
"Manzana a granel",24512,"2019-11-12",766,2.99
"Manzana a granel",24512,"2019-07-22",562,2.99
"Manzana a granel",24512,"2020-03-13",1350,2.99
"Manzana a granel",24512,"2018-11-10",738,2.99
"Manzana a granel",14526,"2020-02-27",673,2.99
"Manzana a granel",14526,"2017-08-17",696,2.99
"Manzana a granel",24512,"2017-10-19",786.781,2.99
"Manzana a granel",24512,"2020-08-07",377,2.99
"Manzana a granel",14526,"2017-12-09",708,2.99
"Manzana a granel",24512,"2019-10-09",791,2.99
"Manzana a granel",14526,"2019-06-13",655,2.99
"Manzana a granel",24512,"2020-06-17",424,2.99
"Manzana a granel",14526,"2019-03-06",725,2.99
"Manzana a granel",14526,"2018-08-01",651.27,2.99
"Manzana a granel",14526,"2020-01-03",679,2.99
"Manzana a granel",14526,"2017-11-22",707,2.99
"Manzana a granel",14526,"2017-09-06",825,2.99
"Manzana a granel",14526,"2020-04-18",497,2.99
"Manzana a granel",14526,"2018-06-04",810,2.99
"Manzana a granel",14526,"2020-09-04",605,2.99
"Manzana a granel",24512,"2019-12-21",759,2.99
"Manzana a granel",14526,"2018-11-27",860,2.99
"Manzana a granel",24512,"2019-09-16",881.45,2.99
"Manzana a granel",24512,"2018-11-02",691,2.99
"Manzana a granel",24512,"2018-12-31",903,2.99
"Manzana a granel",14526,"2018-05-16",793,2.99
"Manzana a granel",14526,"2019-06-14",663,2.99
"Manzana a granel",24512,"2019-12-17",812,2.99
"Manzana a granel",24512,"2018-04-21",1135.899,2.99
"Manzana a granel",14526,"2018-12-05",821,2.99
"Manzana a granel",24512,"2020-01-23",737,2.99
"Manzana a granel",24512,"2017-11-03",691,2.99
"Manzana a granel",24512,"2020-04-28",665,2.99
"Manzana a granel",14526,"2018-09-18",728.364,2.99
"Manzana a granel",24512,"2018-08-31",529,2.99
"Manzana a granel",14526,"2019-07-25",642,2.99
"Manzana a granel",14526,"2019-02-01",825,2.99
"Manzana a granel",24512,"2019-06-06",482,2.99
"Manzana a granel",24512,"2019-10-31",949,2.99
"Manzana a granel",24512,"2017-12-05",1012,2.99
"Manzana a granel",14526,"2019-10-31",747,2.99
"Manzana a granel",14526,"2020-03-28",592,2.99
"Manzana a granel",14526,"2019-02-22",793.946,2.99
"Manzana a granel",14526,"2018-05-21",822,2.99
"Manzana a granel",24512,"2019-01-10",624,2.99
"Manzana a granel",24512,"2020-06-24",396,2.99
"Manzana a granel",24512,"2019-11-13",761,2.99
"Manzana a granel",24512,"2018-07-18",702,2.99
"Manzana a granel",24512,"2020-05-15",781,2.99
"Manzana a granel",24512,"2019-05-27",612,2.99
"Manzana a granel",24512,"2018-09-11",632,2.99
"Manzana a granel",24512,"2018-03-05",777,2.99
"Manzana a granel",24512,"2018-02-16",683.023,2.99
"Manzana a granel",24512,"2018-05-08",747,2.99
"Manzana a granel",24512,"2020-03-18",807,2.99
"Manzana a granel",24512,"2019-01-09",611,2.99
"Manzana a granel",14526,"2018-10-08",783,2.99
"Manzana a granel",24512,"2018-06-22",584,2.99
"Manzana a granel",14526,"2019-11-22",687,2.99
"Manzana a granel",24512,"2018-11-07",661,2.99
"Manzana a granel",24512,"2020-05-13",537,2.99
"Manzana a granel",14526,"2019-12-31",986,2.99
"Manzana a granel",14526,"2020-08-31",627,2.99
"Manzana a granel",24512,"2018-06-29",642,2.99
"Manzana a granel",24512,"2017-09-05",698,2.99
"Manzana a granel",24512,"2020-04-22",896,2.99
"Manzana a granel",24512,"2018-08-10",547,2.99
"Manzana a granel",14526,"2018-07-04",694,2.99
"Manzana a granel",14526,"2019-12-18",678.697,2.99
"Manzana a granel",14526,"2018-06-11",757,2.99
"Manzana a granel",14526,"2019-08-24",677.818,2.99
"Manzana a granel",14526,"2018-08-24",713,2.99
"Manzana a granel",24512,"2018-10-15",811,2.99
"Manzana a granel",14526,"2019-09-27",683,2.99
"Manzana a granel",24512,"2019-03-04",563,2.99
"Manzana a granel",14526,"2017-10-26",846.97,2.99
"Manzana a granel",14526,"2018-07-13",688.87,2.99
"Manzana a granel",24512,"2017-12-26",660,2.99
"Manzana a granel",14526,"2020-06-04",487,2.99
"Manzana a granel",24512,"2018-03-02",687,2.99
"Manzana a granel",14526,"2017-11-16",738.435,2.99
"Manzana a granel",14526,"2018-12-15",712,2.99
"Manzana a granel",14526,"2019-08-13",625,2.99
"Manzana a granel",24512,"2020-06-10",400,2.99
"Manzana a granel",24512,"2019-12-22",243,2.99
"Manzana a granel",14526,"2018-02-19",750,2.99
"Manzana a granel",24512,"2019-10-03",763,2.99
"Manzana a granel",24512,"2019-08-17",608,2.99
"Manzana a granel",14526,"2018-07-28",577.754,2.99
"Manzana a granel",14526,"2018-06-02",721,2.99
"Manzana a granel",24512,"2020-03-23",1094,2.99
"Manzana a granel",14526,"2019-08-03",683.909,2.99
"Manzana a granel",24512,"2018-03-27",782,2.99
"Manzana a granel",24512,"2018-04-27",658,2.99
"Manzana a granel",24512,"2020-08-24",459,2.99
"Manzana a granel",24512,"2020-07-27",452,2.99
"Manzana a granel",24512,"2018-06-13",626,2.99
"Manzana a granel",14526,"2019-07-19",674,2.99
"Manzana a granel",24512,"2018-09-08",899,2.99
"Manzana a granel",14526,"2020-05-21",473,2.99
"Manzana a granel",14526,"2020-01-17",705,2.99
"Manzana a granel",14526,"2019-01-24",716,2.99
"Manzana a granel",14526,"2018-08-07",651.654,2.99
"Manzana a granel",14526,"2020-02-05",706,2.99
"Manzana a granel",24512,"2020-08-28",340,2.99
"Manzana a granel",14526,"2020-02-01",667,2.99
"Manzana a granel",14526,"2020-02-18",685,2.99
"Manzana a granel",14526,"2018-07-20",646,2.99
"Manzana a granel",24512,"2018-02-02",651,2.99
"Manzana a granel",14526,"2018-06-07",676,2.99
"Manzana a granel",24512,"2019-04-04",507.824,2.99
"Manzana a granel",24512,"2018-01-20",1054,2.99
"Manzana a granel",14526,"2019-10-28",805,2.99
"Manzana a granel",14526,"2017-12-22",723,2.99
"Manzana a granel",14526,"2017-12-30",767,2.99
"Manzana a granel",14526,"2018-04-17",741,2.99
"Manzana a granel",14526,"2018-11-21",733,2.99
"Manzana a granel",14526,"2019-03-11",801,2.99
"Manzana a granel",14526,"2017-08-02",769,2.99
"Manzana a granel",24512,"2019-08-16",517,2.99
"Manzana a granel",14526,"2018-12-28",698,2.99
"Manzana a granel",24512,"2019-05-11",601,2.99
"Manzana a granel",24512,"2017-11-30",797,2.99
